business_status,formatted_address,name,place_id,store,zipcode,lat,lng,average income
OPERATIONAL,"3019 Dickerson Pike, Nashville, TN 37207, United States",Dollar General,ChIJP0khs11dZIgRbG3gssaucdA,Dollar General,37207,36.2266877,-86.7592748,42973.0
OPERATIONAL,"1118 Dickerson Pike, Nashville, TN 37207, United States",Dollar General,ChIJ5cJgwKRnZIgR0uLkf2QHvN0,Dollar General,37207,36.1915671,-86.77296790000001,42973.0
OPERATIONAL,"415 W Trinity Ln, Nashville, TN 37207, United States",Dollar General,ChIJX6RPZndnZIgRZIg_fnB39aA,Dollar General,37207,36.20845060000001,-86.7860034,42973.0
OPERATIONAL,"3053 Brick Church Pike, Nashville, TN 37207, United States",Dollar General,ChIJaUPjv3ddZIgRAFcROZh9jB0,Dollar General,37207,36.2319738,-86.78026240000001,42973.0
OPERATIONAL,"82 Lafayette St, Nashville, TN 37210, United States",Dollar General,ChIJx4XEX2lmZIgRd1szJbNmHHA,Dollar General,37210,36.1498697,-86.7637306,36283.0
OPERATIONAL,"3852 Dickerson Pike, Nashville, TN 37207, United States",Dollar General,ChIJV7Zzz95cZIgRrGhPX72IVR0,Dollar General,37207,36.2662775,-86.7574446,42973.0
OPERATIONAL,"206 3rd Ave S, Nashville, TN 37201, United States",Dollar General,ChIJg7RFYlxmZIgR2LCh_WigUFQ,Dollar General,37201,36.1596656,-86.7741856,76014.0
OPERATIONAL,"1755 Dr DB Todd Jr Blvd, Nashville, TN 37208, United States",Dollar General,ChIJ_xsEyCdnZIgREiLZh76vgkw,Dollar General,37208,36.179879,-86.8113555,39964.0
OPERATIONAL,"3234 Blackwood Dr, Nashville, TN 37214, United States",Dollar General,ChIJ4cODpphrZIgRvdk3xiiiTEs,Dollar General,37214,36.15143279999999,-86.6283272,61558.0
OPERATIONAL,"3049 Dickerson Pike, Nashville, TN 37207, United States",Family Dollar,ChIJpyoZJkNdZIgRbS8oR9Fs_Sc,Family Dollar,37207,36.2288991,-86.7580572,42973.0
OPERATIONAL,"1015 Jefferson St, Nashville, TN 37208, United States",Family Dollar,ChIJuW9gjuNmZIgRTUm91gX2szQ,Family Dollar,37208,36.172063,-86.7955178,39964.0
OPERATIONAL,"2734 Whites Creek Pike, Nashville, TN 37207, United States",Family Dollar,ChIJ57WmeV9nZIgRII36JIz3u1M,Family Dollar,37207,36.21972,-86.8052719,42973.0
OPERATIONAL,"2600 Jefferson St, Nashville, TN 37208, United States",Family Dollar,ChIJn4TJJtJmZIgR_kTUTm_JAfc,Family Dollar,37208,36.1684377,-86.8170669,39964.0
OPERATIONAL,"2935 Nolensville Pk, Nashville, TN 37211, United States",Family Dollar,ChIJPy9lHotlZIgR89trqjKd-Sk,Family Dollar,37211,36.1091726,-86.7449086,56748.0
OPERATIONAL,"3215 Clarksville Hwy, Nashville, TN 37218, United States",Family Dollar,ChIJYdP1Uc9gZIgRECI2vCx5-FE,Family Dollar,37218,36.1932177,-86.8327606,46974.0
OPERATIONAL,"4003 Clarksville Pike, Nashville, TN 37218, United States",Family Dollar,ChIJiSb5JaNgZIgRf3sMD_RIH48,Family Dollar,37218,36.2114619,-86.8394004,46974.0
OPERATIONAL,"119 Nashville Hwy #94, Columbia, TN 38401, United States",Family Dollar,ChIJdfr_FIVxY4gRXKC6Cs4_YKg,Family Dollar,38401,35.627364,-87.031896,
OPERATIONAL,"5821 Nolensville Pk, Nashville, TN 37211, United States",Sprouts Farmers Market,ChIJeX17QhFxZIgRzMyJoD1JRoU,Sprouts,37211,36.041382,-86.7139,56748.0
OPERATIONAL,"7620 Hwy 70 S, Nashville, TN 37221, United States",Sprouts Farmers Market,ChIJhVsBkPGIZIgReSXr06LF-ac,Sprouts,37221,36.0799694,-86.94907810000001,83331.0
OPERATIONAL,"3909 Hillsboro Pike, Nashville, TN 37215, United States",Trader Joe's,ChIJH60AEXFkZIgR9d0pAe7Btro,Trader Joes,37215,36.1050835,-86.815626,127203.0
OPERATIONAL,"90 White Bridge Rd, Nashville, TN 37205, United States",Trader Joe's,ChIJI27K4o5jZIgRkiQ31PPyWiw,Trader Joes,37205,36.1307261,-86.85222700000001,106241.0
OPERATIONAL,"1202 Broadway, Nashville, TN 37203, United States",Whole Foods Market,ChIJY1hOx5hnZIgRaU2PoQEx2R0,Whole Foods,37203,36.1567496,-86.7880596,57330.0
OPERATIONAL,"4021 Hillsboro Pike, Nashville, TN 37215, United States",Whole Foods Market,ChIJX8-EyHBkZIgRUTl3H0DUliw,Whole Foods,37215,36.1031403,-86.8187272,127203.0
